timestamp,price,quantity,buyer,seller,spread
1921,100.79,2,0,17,0.8000000000000114
1922,99.55,3,22,20,0.8000000000000114
1922,99.55,1,8,20,0.8000000000000114
1923,100.79,2,39,17,0.8000000000000114
1925,100.79,3,54,5,0.8000000000000114
1928,99.55,1,8,18,0.8000000000000114
1929,100.79,2,17,5,0.8000000000000114
1929,100.79,1,17,5,0.8000000000000114
1929,99.55,3,8,20,0.8000000000000114
1929,99.55,1,10,20,0.8000000000000114
1931,99.55,1,10,45,0.8000000000000114
1935,100.79,1,39,5,0.8000000000000114
1940,99.55,1,10,18,0.8000000000000114
1940,99.55,2,10,32,0.8000000000000114
1940,99.55,1,10,32,0.8000000000000114
1940,100.79,1,17,5,0.8000000000000114
1945,100.79,2,48,5,0.8000000000000114
1947,100.79,3,31,8,0.8000000000000114
1947,99.55,4,10,35,0.8000000000000114
1947,99.55,2,8,52,0.8000000000000114
1950,99.55,2,8,0,0.8000000000000114
1953,100.79,2,27,8,0.8000000000000114
1953,100.79,1,27,6,0.8000000000000114
1956,99.55,1,8,30,0.8000000000000114
1956,99.55,1,4,30,0.8000000000000114
1961,99.55,2,4,37,0.8000000000000114
1963,100.79,4,57,6,0.8000000000000114
1963,99.55,1,4,11,0.8100000000000023
1968,100.8,4,39,3,0.8100000000000023
1969,99.55,1,4,24,0.8100000000000023
1969,99.55,1,10,24,0.8100000000000023
1972,99.55,3,10,25,0.8100000000000023
1975,100.8,1,34,3,0.8100000000000023
1975,100.8,2,34,23,0.8100000000000023
1975,99.55,1,10,43,0.8100000000000023
1975,99.55,1,10,43,0.8100000000000023
1979,100.8,1,44,23,0.8100000000000023
1979,100.8,2,44,6,0.8100000000000023
1981,100.8,1,27,6,0.8100000000000023
1982,100.8,1,40,6,0.8100000000000023
1983,99.55,1,10,45,0.8100000000000023
1984,99.55,3,10,20,0.8100000000000023
1986,99.55,2,6,0,0.8100000000000023
1989,100.8,1,22,6,0.8100000000000023
1990,99.55,3,6,15,0.8100000000000023
1990,99.55,1,8,15,0.8100000000000023
1990,100.8,2,44,8,0.8100000000000023
1992,100.8,3,48,8,0.8100000000000023
1992,99.55,4,8,13,0.8100000000000023
1996,100.8,1,55,33,0.8100000000000023
1996,100.8,3,55,6,0.8100000000000023
1996,100.8,2,31,6,0.8100000000000023
1996,100.8,1,31,8,0.8100000000000023
1998,100.8,4,39,8,0.8100000000000023
1999,100.8,3,33,54,0.8100000000000023
2001,100.8,1,23,54,0.8100000000000023
2001,100.8,2,23,6,0.8100000000000023
2002,99.55,2,6,25,0.8100000000000023
2002,99.55,1,6,11,0.8100000000000023
2004,100.8,3,34,6,0.8100000000000023
2004,100.8,1,34,6,0.8100000000000023
2006,99.55,2,6,43,0.8100000000000023
2006,99.55,2,6,11,0.8100000000000023
2013,99.55,3,6,52,0.8100000000000023
2013,100.8,1,40,6,0.8100000000000023
2014,100.8,2,0,6,0.8100000000000023
2020,100.8,1,41,6,0.8100000000000023
2020,100.81,1,41,5,0.8200000000000074
2021,99.55,4,5,11,0.8200000000000074
2024,99.55,1,5,15,0.8200000000000074
2024,99.55,2,5,15,0.8200000000000074
2027,100.81,1,34,5,0.8200000000000074
2028,99.55,2,5,30,0.8200000000000074
2029,99.55,1,5,18,0.8200000000000074
2029,100.81,2,40,5,0.8200000000000074
