timestamp,mid_price,best_bid,best_ask,spread,last_trade,fundamental_value,volume,order_book_depth
646,100.4,100.21000000000001,100.59,0.37999999999999545,100.59,95.43754151337063,0,"{'bids': [{'price': 100.21000000000001, 'volume': 1}, {'price': 99.99, 'volume': 0}, {'price': 99.96, 'volume': 0}], 'asks': [{'price': 100.59, 'volume': 8}, {'price': 100.60000000000001, 'volume': 80}, {'price': 100.61, 'volume': 63}]}"
647,100.28999999999999,99.99,100.59,0.6000000000000085,99.8,94.59712671806687,0,"{'bids': [{'price': 99.99, 'volume': 0}, {'price': 99.96, 'volume': 0}, {'price': 99.8, 'volume': 2}], 'asks': [{'price': 100.59, 'volume': 8}, {'price': 100.60000000000001, 'volume': 80}, {'price': 100.61, 'volume': 63}]}"
648,100.28999999999999,99.99,100.59,0.6000000000000085,100.59,94.91804836061453,4,"{'bids': [{'price': 99.99, 'volume': 0}, {'price': 99.96, 'volume': 0}, {'price': 99.8, 'volume': 2}], 'asks': [{'price': 100.59, 'volume': 5}, {'price': 100.60000000000001, 'volume': 80}, {'price': 100.61, 'volume': 63}]}"
649,100.28999999999999,99.99,100.59,0.6000000000000085,99.8,93.39852897037024,3,"{'bids': [{'price': 99.99, 'volume': 0}, {'price': 99.96, 'volume': 0}, {'price': 99.8, 'volume': 1}], 'asks': [{'price': 100.59, 'volume': 5}, {'price': 100.60000000000001, 'volume': 80}, {'price': 100.61, 'volume': 63}]}"
650,100.27,99.99,100.55,0.5600000000000023,99.8,93.98716333724292,1,"{'bids': [{'price': 99.99, 'volume': 0}, {'price': 99.96, 'volume': 0}, {'price': 99.8, 'volume': 1}], 'asks': [{'price': 100.55, 'volume': 3}, {'price': 100.59, 'volume': 5}, {'price': 100.60000000000001, 'volume': 80}]}"
651,100.27,99.99,100.55,0.5600000000000023,99.8,93.45752314482102,0,"{'bids': [{'price': 99.99, 'volume': 0}, {'price': 99.96, 'volume': 0}, {'price': 99.8, 'volume': 1}], 'asks': [{'price': 100.55, 'volume': 3}, {'price': 100.59, 'volume': 5}, {'price': 100.60000000000001, 'volume': 80}]}"
652,100.28999999999999,99.99,100.59,0.6000000000000085,100.59,92.28761927754715,0,"{'bids': [{'price': 99.99, 'volume': 0}, {'price': 99.96, 'volume': 0}, {'price': 99.8, 'volume': 1}], 'asks': [{'price': 100.59, 'volume': 4}, {'price': 100.60000000000001, 'volume': 80}, {'price': 100.61, 'volume': 63}]}"
653,100.28999999999999,99.99,100.59,0.6000000000000085,100.59,91.75639574717597,4,"{'bids': [{'price': 99.99, 'volume': 0}, {'price': 99.96, 'volume': 0}, {'price': 99.8, 'volume': 1}], 'asks': [{'price': 100.59, 'volume': 2}, {'price': 100.60000000000001, 'volume': 80}, {'price': 100.61, 'volume': 63}]}"
654,100.295,99.99,100.60000000000001,0.6100000000000136,100.59,92.94007900244785,2,"{'bids': [{'price': 99.99, 'volume': 0}, {'price': 99.96, 'volume': 0}, {'price': 99.8, 'volume': 1}], 'asks': [{'price': 100.60000000000001, 'volume': 80}, {'price': 100.61, 'volume': 63}, {'price': 100.62, 'volume': 76}]}"
655,100.295,99.99,100.60000000000001,0.6100000000000136,100.59,92.41364673326188,2,"{'bids': [{'price': 99.99, 'volume': 0}, {'price': 99.96, 'volume': 0}, {'price': 99.8, 'volume': 1}], 'asks': [{'price': 100.60000000000001, 'volume': 80}, {'price': 100.61, 'volume': 63}, {'price': 100.62, 'volume': 76}]}"
656,100.295,99.99,100.60000000000001,0.6100000000000136,99.78,91.56138304506284,0,"{'bids': [{'price': 99.99, 'volume': 0}, {'price': 99.96, 'volume': 0}, {'price': 99.78, 'volume': 1}], 'asks': [{'price': 100.60000000000001, 'volume': 80}, {'price': 100.61, 'volume': 63}, {'price': 100.62, 'volume': 76}]}"
657,100.295,99.99,100.60000000000001,0.6100000000000136,99.77,89.52805656936646,2,"{'bids': [{'price': 99.99, 'volume': 0}, {'price': 99.96, 'volume': 0}, {'price': 99.77, 'volume': 2}], 'asks': [{'price': 100.60000000000001, 'volume': 80}, {'price': 100.61, 'volume': 63}, {'price': 100.62, 'volume': 76}]}"
658,100.295,99.99,100.60000000000001,0.6100000000000136,99.77,88.47657511482753,4,"{'bids': [{'price': 99.99, 'volume': 0}, {'price': 99.96, 'volume': 0}, {'price': 99.77, 'volume': 2}], 'asks': [{'price': 100.60000000000001, 'volume': 80}, {'price': 100.61, 'volume': 63}, {'price': 100.62, 'volume': 76}]}"
659,100.295,99.99,100.60000000000001,0.6100000000000136,100.60000000000001,88.55798222400159,0,"{'bids': [{'price': 99.99, 'volume': 0}, {'price': 99.96, 'volume': 0}, {'price': 99.77, 'volume': 2}], 'asks': [{'price': 100.60000000000001, 'volume': 76}, {'price': 100.61, 'volume': 63}, {'price': 100.62, 'volume': 76}]}"
660,100.295,99.99,100.60000000000001,0.6100000000000136,99.77,88.6668530595287,4,"{'bids': [{'price': 99.99, 'volume': 0}, {'price': 99.96, 'volume': 0}, {'price': 99.77, 'volume': 1}], 'asks': [{'price': 100.60000000000001, 'volume': 72}, {'price': 100.61, 'volume': 63}, {'price': 100.62, 'volume': 76}]}"
661,100.295,99.99,100.60000000000001,0.6100000000000136,99.72,88.98135952564412,5,"{'bids': [{'price': 99.99, 'volume': 0}, {'price': 99.96, 'volume': 0}, {'price': 99.72, 'volume': 3}], 'asks': [{'price': 100.60000000000001, 'volume': 72}, {'price': 100.61, 'volume': 63}, {'price': 100.62, 'volume': 76}]}"
662,100.295,99.99,100.60000000000001,0.6100000000000136,100.60000000000001,91.11537060704809,3,"{'bids': [{'price': 99.99, 'volume': 0}, {'price': 99.96, 'volume': 0}, {'price': 99.72, 'volume': 3}], 'asks': [{'price': 100.60000000000001, 'volume': 68}, {'price': 100.61, 'volume': 63}, {'price': 100.62, 'volume': 76}]}"
663,100.295,99.99,100.60000000000001,0.6100000000000136,100.60000000000001,90.98917829468998,4,"{'bids': [{'price': 99.99, 'volume': 0}, {'price': 99.96, 'volume': 0}, {'price': 99.72, 'volume': 3}], 'asks': [{'price': 100.60000000000001, 'volume': 68}, {'price': 100.61, 'volume': 63}, {'price': 100.62, 'volume': 76}]}"
664,100.295,99.99,100.60000000000001,0.6100000000000136,100.60000000000001,92.00956294522106,0,"{'bids': [{'price': 99.99, 'volume': 0}, {'price': 99.96, 'volume': 0}, {'price': 99.72, 'volume': 3}], 'asks': [{'price': 100.60000000000001, 'volume': 65}, {'price': 100.61, 'volume': 63}, {'price': 100.62, 'volume': 76}]}"
665,100.295,99.99,100.60000000000001,0.6100000000000136,100.60000000000001,93.57334741654041,3,"{'bids': [{'price': 99.99, 'volume': 0}, {'price': 99.96, 'volume': 0}, {'price': 99.7, 'volume': 1}], 'asks': [{'price': 100.60000000000001, 'volume': 63}, {'price': 100.61, 'volume': 63}, {'price': 100.62, 'volume': 76}]}"
666,100.295,99.99,100.60000000000001,0.6100000000000136,100.60000000000001,93.44300583698478,9,"{'bids': [{'price': 99.99, 'volume': 0}, {'price': 99.96, 'volume': 0}, {'price': 99.7, 'volume': 1}], 'asks': [{'price': 100.60000000000001, 'volume': 58}, {'price': 100.61, 'volume': 63}, {'price': 100.62, 'volume': 76}]}"
667,100.295,99.99,100.60000000000001,0.6100000000000136,100.60000000000001,93.31861915043973,5,"{'bids': [{'price': 99.99, 'volume': 0}, {'price': 99.96, 'volume': 0}, {'price': 99.7, 'volume': 1}], 'asks': [{'price': 100.60000000000001, 'volume': 56}, {'price': 100.61, 'volume': 63}, {'price': 100.62, 'volume': 76}]}"
668,100.295,99.99,100.60000000000001,0.6100000000000136,100.60000000000001,92.95299031751452,2,"{'bids': [{'price': 99.99, 'volume': 0}, {'price': 99.96, 'volume': 0}, {'price': 99.7, 'volume': 1}], 'asks': [{'price': 100.60000000000001, 'volume': 56}, {'price': 100.61, 'volume': 63}, {'price': 100.62, 'volume': 76}]}"
669,100.295,99.99,100.60000000000001,0.6100000000000136,100.60000000000001,92.0476430958483,0,"{'bids': [{'price': 99.99, 'volume': 0}, {'price': 99.96, 'volume': 0}, {'price': 99.7, 'volume': 1}], 'asks': [{'price': 100.60000000000001, 'volume': 56}, {'price': 100.61, 'volume': 63}, {'price': 100.62, 'volume': 76}]}"
670,100.295,99.99,100.60000000000001,0.6100000000000136,100.60000000000001,94.28456365752686,0,"{'bids': [{'price': 99.99, 'volume': 0}, {'price': 99.96, 'volume': 0}, {'price': 99.7, 'volume': 1}], 'asks': [{'price': 100.60000000000001, 'volume': 56}, {'price': 100.61, 'volume': 63}, {'price': 100.62, 'volume': 76}]}"
671,100.295,99.99,100.60000000000001,0.6100000000000136,99.69,93.23490500488319,0,"{'bids': [{'price': 99.99, 'volume': 0}, {'price': 99.96, 'volume': 0}, {'price': 99.69, 'volume': 3}], 'asks': [{'price': 100.60000000000001, 'volume': 56}, {'price': 100.61, 'volume': 63}, {'price': 100.62, 'volume': 76}]}"
672,100.295,99.99,100.60000000000001,0.6100000000000136,99.68,93.23361070510235,4,"{'bids': [{'price': 99.99, 'volume': 0}, {'price': 99.96, 'volume': 0}, {'price': 99.68, 'volume': 23}], 'asks': [{'price': 100.60000000000001, 'volume': 56}, {'price': 100.61, 'volume': 63}, {'price': 100.62, 'volume': 76}]}"
673,100.295,99.99,100.60000000000001,0.6100000000000136,99.68,93.52168378412203,6,"{'bids': [{'price': 99.99, 'volume': 0}, {'price': 99.96, 'volume': 0}, {'price': 99.68, 'volume': 23}], 'asks': [{'price': 100.60000000000001, 'volume': 56}, {'price': 100.61, 'volume': 63}, {'price': 100.62, 'volume': 76}]}"
674,100.295,99.99,100.60000000000001,0.6100000000000136,100.60000000000001,93.62033221579595,0,"{'bids': [{'price': 99.99, 'volume': 0}, {'price': 99.96, 'volume': 0}, {'price': 99.68, 'volume': 19}], 'asks': [{'price': 100.60000000000001, 'volume': 49}, {'price': 100.61, 'volume': 63}, {'price': 100.62, 'volume': 76}]}"
675,100.295,99.99,100.60000000000001,0.6100000000000136,100.60000000000001,95.21049713766406,11,"{'bids': [{'price': 99.99, 'volume': 0}, {'price': 99.96, 'volume': 0}, {'price': 99.69, 'volume': 5}], 'asks': [{'price': 100.60000000000001, 'volume': 49}, {'price': 100.61, 'volume': 63}, {'price': 100.62, 'volume': 76}]}"
676,100.295,99.99,100.60000000000001,0.6100000000000136,100.60000000000001,94.27073280105235,0,"{'bids': [{'price': 99.99, 'volume': 0}, {'price': 99.96, 'volume': 0}, {'price': 99.69, 'volume': 5}], 'asks': [{'price': 100.60000000000001, 'volume': 49}, {'price': 100.61, 'volume': 63}, {'price': 100.62, 'volume': 76}]}"
