timestamp,order_id,agent_id,type,price,quantity,filled
47,389072482,30,LIMIT_SELL,99.99000000000001,4,0
48,992291038,46,LIMIT_SELL,100.98,1,0
48,30623226,16,LIMIT_BUY,100.98,0,3
48,556600450,19,LIMIT_BUY,99.0,1,0
48,830757475,12,LIMIT_SELL,100.44,1,0
48,233590270,33,LIMIT_BUY,99.84,4,0
48,950279132,17,LIMIT_BUY,99.97,4,0
49,239075385,36,LIMIT_BUY,99.29,3,0
50,92946266,11,LIMIT_BUY,100.14,0,1
50,746948870,21,LIMIT_SELL,99.33,0,3
50,296033695,26,LIMIT_BUY,99.56,2,0
50,542480279,6,LIMIT_BUY,99.37,5,0
50,978503796,1,LIMIT_SELL,101.39,5,0
50,395466829,7,LIMIT_BUY,98.55,5,0
50,398049280,40,LIMIT_BUY,100.76,0,3
50,626674982,24,LIMIT_SELL,99.23,0,2
50,625736664,4,LIMIT_BUY,99.03,5,0
50,718971624,14,LIMIT_SELL,98.76,0,4
50,45235481,2,LIMIT_SELL,101.32000000000001,5,0
50,363258401,6,LIMIT_SELL,100.61,5,0
50,237246387,5,LIMIT_SELL,100.72,5,0
50,556045387,9,LIMIT_BUY,99.03,5,0
50,893553588,10,LIMIT_SELL,100.53,5,0
50,953092381,5,LIMIT_BUY,99.26,5,0
50,337205578,8,LIMIT_BUY,99.44,5,0
50,103367152,10,LIMIT_BUY,99.45,5,0
50,43372008,4,LIMIT_SELL,100.95,5,0
50,458516421,7,LIMIT_SELL,101.43,5,0
50,507105521,37,LIMIT_BUY,99.45,3,0
50,20951550,9,LIMIT_SELL,100.95,5,0
50,637387839,8,LIMIT_SELL,100.54,5,0
50,194362058,1,LIMIT_BUY,98.59,5,0
50,471207264,3,LIMIT_SELL,101.01,5,0
50,801928631,2,LIMIT_BUY,98.66,5,0
50,824765551,3,LIMIT_BUY,98.97,5,0
51,372660403,60,LIMIT_SELL,101.16,1,0
51,349508452,43,LIMIT_BUY,99.09,2,0
51,913200596,27,LIMIT_SELL,100.67,1,0
52,346865290,17,LIMIT_BUY,100.26,0,3
52,822641920,23,LIMIT_BUY,100.86,0,4
52,627367007,53,LIMIT_SELL,99.28,0,2
52,491950920,48,LIMIT_SELL,100.84,4,0
52,58732778,32,LIMIT_BUY,100.23,2,0
52,679029540,58,LIMIT_BUY,100.86,0,2
53,542920325,57,LIMIT_BUY,101.29,0,3
53,918302538,42,LIMIT_SELL,100.29,2,0
54,537709274,22,LIMIT_BUY,99.86,4,0
54,971618116,30,LIMIT_BUY,99.95,1,0
54,138700188,13,LIMIT_SELL,99.45,0,3
54,739770285,14,LIMIT_BUY,98.63,3,0
54,782039258,12,LIMIT_BUY,100.54,0,2
